timestamp,volume,vw,open,close,high,low,t,n
2024-02-15 14:30:00,5,96.14,96.14,96.14,96.14,96.14,1708007400000,1
2024-02-15 14:49:00,1,89.0,89.0,89.0,89.0,89.0,1708008540000,1
2024-02-15 14:52:00,1,87.1,87.1,87.1,87.1,87.1,1708008720000,1
2024-02-15 15:08:00,1,89.1,89.1,89.1,89.1,89.1,1708009680000,1
2024-02-15 15:31:00,28,92.9,92.9,92.9,92.9,92.9,1708011060000,1
2024-02-15 16:04:00,28,94.1,94.1,94.1,94.1,94.1,1708013040000,3
2024-02-15 16:38:00,2,92.8,92.8,92.8,92.8,92.8,1708015080000,1
2024-02-15 16:53:00,25,93.0,93.0,93.0,93.0,93.0,1708015980000,1
2024-02-15 17:13:00,25,87.5,87.5,87.5,87.5,87.5,1708017180000,1
2024-02-15 17:56:00,25,86.5,86.5,86.5,86.5,86.5,1708019760000,1
2024-02-15 18:08:00,26,81.3192,81.5,81.2,81.5,81.2,1708020480000,4
2024-02-15 18:20:00,1,75.7,75.7,75.7,75.7,75.7,1708021200000,1
2024-02-15 18:25:00,5,77.1,77.1,77.1,77.1,77.1,1708021500000,1
2024-02-15 19:55:00,2,68.1,68.1,68.1,68.1,68.1,1708026900000,1
2024-02-15 20:46:00,5,76.05,76.05,76.05,76.05,76.05,1708029960000,1
