timestamp,volume,vw,open,close,high,low,t,n
2023-03-22 13:30:00,159,1.71,1.6,1.8,1.85,1.6,1679491800000,43
2023-03-22 13:31:00,158,1.8118,1.85,1.9,1.96,1.65,1679491860000,56
2023-03-22 13:32:00,79,1.9672,1.95,1.93,2.05,1.9,1679491920000,41
2023-03-22 13:33:00,95,1.9915,1.89,2.05,2.05,1.89,1679491980000,38
2023-03-22 13:34:00,66,1.8635,1.95,1.8,1.95,1.8,1679492040000,31
2023-03-22 13:35:00,103,1.7677,1.75,1.77,1.8,1.7,1679492100000,29
2023-03-22 13:36:00,84,1.757,1.8,1.65,1.85,1.62,1679492160000,49
2023-03-22 13:37:00,111,1.5488,1.65,1.6,1.65,1.45,1679492220000,45
2023-03-22 13:38:00,86,1.6069,1.55,1.65,1.7,1.55,1679492280000,39
2023-03-22 13:39:00,54,1.6193,1.65,1.65,1.7,1.6,1679492340000,28
2023-03-22 13:40:00,23,1.7396,1.6,1.75,1.85,1.6,1679492400000,16
2023-03-22 13:41:00,29,1.8262,1.8,1.85,1.87,1.75,1679492460000,21
2023-03-22 13:42:00,526,1.8507,1.85,1.8,1.9,1.8,1679492520000,28
2023-03-22 13:43:00,17,1.7659,1.8,1.75,1.85,1.7,1679492580000,12
2023-03-22 13:44:00,20,1.6925,1.75,1.67,1.75,1.62,1679492640000,11
2023-03-22 13:45:00,38,1.6724,1.7,1.65,1.8,1.55,1679492700000,28
2023-03-22 13:46:00,21,1.6814,1.68,1.75,1.75,1.65,1679492760000,14
2023-03-22 13:47:00,3,1.7033,1.68,1.75,1.75,1.68,1679492820000,2
2023-03-22 13:48:00,55,1.6349,1.65,1.62,1.75,1.55,1679492880000,21
2023-03-22 13:49:00,35,1.5689,1.6,1.65,1.65,1.45,1679492940000,18
2023-03-22 13:50:00,25,1.5032,1.6,1.3,1.6,1.3,1679493000000,11
2023-03-22 13:51:00,78,1.4269,1.4,1.55,1.55,1.4,1679493060000,26
2023-03-22 13:52:00,21,1.5952,1.55,1.6,1.65,1.55,1679493120000,18
2023-03-22 13:53:00,31,1.5958,1.6,1.6,1.65,1.55,1679493180000,16
2023-03-22 13:54:00,264,1.5247,1.6,1.6,1.65,1.55,1679493240000,12
2023-03-22 13:55:00,29,1.5293,1.5,1.65,1.65,1.5,1679493300000,5
2023-03-22 13:56:00,26,1.5865,1.55,1.5,1.6,1.5,1679493360000,10
2023-03-22 13:57:00,26,1.4542,1.47,1.45,1.5,1.45,1679493420000,9
2023-03-22 13:58:00,23,1.4404,1.45,1.45,1.47,1.4,1679493480000,13
2023-03-22 13:59:00,32,1.3625,1.43,1.37,1.43,1.35,1679493540000,14
2023-03-22 14:00:00,20,1.341,1.4,1.3,1.4,1.3,1679493600000,13
2023-03-22 14:01:00,26,1.3196,1.25,1.32,1.35,1.25,1679493660000,16
2023-03-22 14:02:00,15,1.392,1.32,1.42,1.45,1.32,1679493720000,8
2023-03-22 14:03:00,4,1.335,1.39,1.3,1.39,1.3,1679493780000,4
2023-03-22 14:04:00,15,1.35,1.35,1.35,1.4,1.3,1679493840000,10
2023-03-22 14:05:00,15,1.3453,1.35,1.4,1.4,1.32,1679493900000,6
2023-03-22 14:06:00,23,1.3283,1.4,1.35,1.4,1.3,1679493960000,13
2023-03-22 14:07:00,14,1.3129,1.36,1.3,1.37,1.3,1679494020000,5
2023-03-22 14:08:00,30,1.2497,1.25,1.25,1.27,1.2,1679494080000,13
2023-03-22 14:09:00,14,1.2764,1.25,1.3,1.32,1.25,1679494140000,5
2023-03-22 14:10:00,7,1.2571,1.25,1.3,1.3,1.25,1679494200000,6
2023-03-22 14:11:00,14,1.2764,1.25,1.35,1.35,1.25,1679494260000,9
2023-03-22 14:12:00,22,1.4236,1.4,1.5,1.5,1.35,1679494320000,13
2023-03-22 14:13:00,38,1.4482,1.5,1.4,1.5,1.4,1679494380000,18
2023-03-22 14:14:00,23,1.4261,1.45,1.4,1.45,1.4,1679494440000,5
2023-03-22 14:15:00,83,1.3387,1.41,1.3,1.44,1.25,1679494500000,12
2023-03-22 14:16:00,125,1.2768,1.3,1.25,1.35,1.25,1679494560000,18
2023-03-22 14:17:00,9,1.2722,1.25,1.25,1.3,1.25,1679494620000,5
2023-03-22 14:18:00,50,1.256,1.25,1.25,1.3,1.25,1679494680000,8
2023-03-22 14:19:00,29,1.2703,1.3,1.3,1.3,1.25,1679494740000,11
2023-03-22 14:20:00,39,1.1746,1.2,1.15,1.25,1.15,1679494800000,20
2023-03-22 14:21:00,42,1.1136,1.1,1.15,1.15,1.07,1679494860000,21
2023-03-22 14:22:00,43,1.1153,1.1,1.12,1.15,1.09,1679494920000,18
2023-03-22 14:23:00,9,1.1333,1.1,1.15,1.15,1.1,1679494980000,7
2023-03-22 14:24:00,24,1.1113,1.1,1.15,1.15,1.1,1679495040000,17
2023-03-22 14:25:00,67,1.1022,1.15,1.1,1.15,1.1,1679495100000,4
2023-03-22 14:26:00,6,1.1183,1.1,1.2,1.2,1.1,1679495160000,4
2023-03-22 14:27:00,116,1.0917,1.1,1.15,1.15,1.05,1679495220000,32
2023-03-22 14:28:00,70,0.9964,1.12,0.95,1.12,0.95,1679495280000,43
2023-03-22 14:29:00,49,0.999,1.0,1.05,1.05,0.95,1679495340000,23
2023-03-22 14:30:00,15,1.0473,1.05,1.05,1.1,1.0,1679495400000,12
2023-03-22 14:31:00,151,1.0335,1.05,1.03,1.1,1.0,1679495460000,28
2023-03-22 14:32:00,14,1.0864,1.05,1.12,1.15,1.05,1679495520000,12
2023-03-22 14:33:00,36,1.1164,1.1,1.15,1.15,1.1,1679495580000,13
2023-03-22 14:34:00,14,1.0779,1.1,1.1,1.1,1.05,1679495640000,11
2023-03-22 14:35:00,33,1.1121,1.1,1.1,1.2,1.1,1679495700000,12
2023-03-22 14:36:00,57,1.1593,1.2,1.15,1.2,1.1,1679495760000,16
2023-03-22 14:37:00,43,1.1302,1.1,1.15,1.15,1.1,1679495820000,15
2023-03-22 14:38:00,40,1.1548,1.15,1.15,1.2,1.13,1679495880000,16
2023-03-22 14:39:00,22,1.1386,1.2,1.15,1.2,1.1,1679495940000,11
2023-03-22 14:40:00,14,1.1157,1.1,1.15,1.15,1.1,1679496000000,11
2023-03-22 14:41:00,7,1.1286,1.15,1.15,1.15,1.12,1679496060000,7
2023-03-22 14:42:00,22,1.1214,1.12,1.15,1.15,1.1,1679496120000,12
2023-03-22 14:43:00,4,1.1425,1.15,1.15,1.15,1.12,1679496180000,4
2023-03-22 14:44:00,7,1.1029,1.12,1.1,1.12,1.1,1679496240000,7
2023-03-22 14:45:00,5,1.1,1.1,1.1,1.1,1.1,1679496300000,4
2023-03-22 14:46:00,58,1.0321,1.07,1.07,1.1,1.0,1679496360000,18
2023-03-22 14:47:00,17,1.1618,1.15,1.2,1.2,1.15,1679496420000,8
2023-03-22 14:48:00,122,1.1426,1.14,1.2,1.2,1.1,1679496480000,21
2023-03-22 14:49:00,18,1.1639,1.2,1.15,1.2,1.15,1679496540000,8
2023-03-22 14:50:00,5,1.1,1.1,1.1,1.1,1.1,1679496600000,3
2023-03-22 14:51:00,32,1.1372,1.15,1.14,1.15,1.11,1679496660000,9
2023-03-22 14:52:00,33,1.1985,1.2,1.15,1.25,1.15,1679496720000,16
2023-03-22 14:53:00,14,1.1393,1.15,1.15,1.2,1.13,1679496780000,12
2023-03-22 14:54:00,6,1.1333,1.2,1.1,1.2,1.1,1679496840000,6
2023-03-22 14:55:00,5,1.13,1.1,1.15,1.15,1.1,1679496900000,5
2023-03-22 14:56:00,3,1.1167,1.15,1.1,1.15,1.1,1679496960000,3
2023-03-22 14:57:00,34,1.1271,1.15,1.12,1.15,1.09,1679497020000,4
2023-03-22 14:58:00,15,1.1,1.1,1.1,1.1,1.1,1679497080000,5
2023-03-22 14:59:00,5,1.114,1.1,1.1,1.15,1.1,1679497140000,4
2023-03-22 15:00:00,20,1.0825,1.1,1.2,1.2,1.05,1679497200000,8
2023-03-22 15:01:00,44,1.2009,1.2,1.2,1.25,1.15,1679497260000,12
2023-03-22 15:02:00,7,1.2,1.2,1.2,1.2,1.2,1679497320000,2
2023-03-22 15:03:00,7,1.2286,1.2,1.25,1.25,1.2,1679497380000,5
2023-03-22 15:04:00,202,1.2643,1.2,1.25,1.27,1.2,1679497440000,17
2023-03-22 15:05:00,17,1.2588,1.27,1.25,1.27,1.2,1679497500000,5
2023-03-22 15:06:00,5,1.25,1.25,1.25,1.25,1.25,1679497560000,1
2023-03-22 15:07:00,9,1.2633,1.25,1.3,1.3,1.25,1679497620000,7
2023-03-22 15:08:00,48,1.2958,1.25,1.3,1.32,1.25,1679497680000,16
2023-03-22 15:09:00,17,1.2635,1.3,1.3,1.3,1.25,1679497740000,10
2023-03-22 15:10:00,12,1.2767,1.35,1.25,1.35,1.2,1679497800000,10
2023-03-22 15:11:00,2,1.225,1.2,1.25,1.25,1.2,1679497860000,2
2023-03-22 15:12:00,33,1.353,1.25,1.42,1.42,1.25,1679497920000,15
2023-03-22 15:13:00,108,1.4947,1.42,1.45,1.52,1.42,1679497980000,33
2023-03-22 15:14:00,8,1.375,1.45,1.35,1.45,1.3,1679498040000,7
2023-03-22 15:15:00,17,1.35,1.37,1.35,1.4,1.3,1679498100000,13
2023-03-22 15:16:00,18,1.3806,1.35,1.4,1.4,1.35,1679498160000,13
2023-03-22 15:17:00,26,1.4404,1.43,1.4,1.45,1.4,1679498220000,8
2023-03-22 15:18:00,3,1.4,1.4,1.4,1.4,1.4,1679498280000,1
2023-03-22 15:19:00,2,1.475,1.45,1.5,1.5,1.45,1679498340000,2
2023-03-22 15:20:00,5,1.4,1.4,1.35,1.45,1.35,1679498400000,5
2023-03-22 15:21:00,4,1.3875,1.4,1.35,1.4,1.35,1679498460000,3
2023-03-22 15:22:00,5,1.4,1.4,1.4,1.4,1.4,1679498520000,4
2023-03-22 15:23:00,9,1.35,1.35,1.35,1.35,1.35,1679498580000,5
2023-03-22 15:24:00,75,1.274,1.35,1.2,1.35,1.2,1679498640000,24
