timestamp,volume,vw,open,close,high,low,t,n
2023-03-15 13:30:00,172,4.4832,5.9,4.2,5.9,4.0,1678887000000,78
2023-03-15 13:31:00,503,4.5399,4.1,4.5,4.8,4.1,1678887060000,140
2023-03-15 13:32:00,632,4.7858,4.5,4.72,5.02,4.2,1678887120000,106
2023-03-15 13:33:00,1464,4.8693,4.7,4.4,5.11,4.02,1678887180000,114
2023-03-15 13:34:00,1483,3.9155,4.3,4.3,4.3,3.5,1678887240000,215
2023-03-15 13:35:00,421,4.7646,4.2,4.93,5.5,4.1,1678887300000,122
2023-03-15 13:36:00,450,5.0071,5.0,5.1,5.3,4.7,1678887360000,81
2023-03-15 13:37:00,230,5.2541,5.2,4.7,5.5,4.7,1678887420000,95
2023-03-15 13:38:00,246,4.1135,4.4,4.0,4.4,3.8,1678887480000,87
2023-03-15 13:39:00,135,4.3213,4.18,4.3,4.57,4.18,1678887540000,49
2023-03-15 13:40:00,333,4.5525,4.23,4.1,5.1,4.1,1678887600000,99
2023-03-15 13:41:00,263,4.0402,4.04,4.0,4.5,3.8,1678887660000,88
2023-03-15 13:42:00,266,3.3693,4.1,3.3,4.1,2.8,1678887720000,111
2023-03-15 13:43:00,269,3.6653,3.3,3.7,3.8,3.3,1678887780000,67
2023-03-15 13:44:00,370,3.7247,3.6,3.3,3.9,3.29,1678887840000,64
2023-03-15 13:45:00,312,3.3443,3.2,3.5,3.8,3.0,1678887900000,72
2023-03-15 13:46:00,267,4.0542,3.7,3.7,4.3,3.5,1678887960000,104
2023-03-15 13:47:00,195,4.0423,3.7,3.6,4.42,3.47,1678888020000,60
2023-03-15 13:48:00,39,3.7285,3.5,3.9,4.1,3.5,1678888080000,31
2023-03-15 13:49:00,194,3.5793,3.7,3.49,4.0,3.4,1678888140000,39
2023-03-15 13:50:00,225,3.819,3.5,3.8,4.2,3.5,1678888200000,62
2023-03-15 13:51:00,90,3.8853,3.85,4.0,4.04,3.6,1678888260000,38
2023-03-15 13:52:00,256,4.0906,4.0,3.9,4.51,3.5,1678888320000,109
2023-03-15 13:53:00,143,4.1945,4.0,3.8,4.5,3.8,1678888380000,56
2023-03-15 13:54:00,159,3.8953,4.1,3.6,4.4,3.5,1678888440000,45
2023-03-15 13:55:00,214,4.2015,3.87,4.6,4.7,3.8,1678888500000,70
2023-03-15 13:56:00,295,5.0184,4.5,5.3,5.4,4.4,1678888560000,110
2023-03-15 13:57:00,508,5.3025,5.16,5.0,5.6,4.9,1678888620000,89
2023-03-15 13:58:00,128,4.9277,5.3,4.4,5.4,4.34,1678888680000,82
2023-03-15 13:59:00,114,4.4133,4.48,4.5,4.6,4.2,1678888740000,47
2023-03-15 14:00:00,79,4.7458,4.66,4.3,5.0,4.3,1678888800000,56
2023-03-15 14:01:00,182,5.074,4.2,5.2,5.5,4.2,1678888860000,82
2023-03-15 14:02:00,315,4.5995,5.3,5.2,5.41,3.9,1678888920000,103
2023-03-15 14:03:00,155,4.9299,5.3,4.7,5.3,4.5,1678888980000,69
2023-03-15 14:04:00,230,3.9643,4.6,3.4,4.7,3.2,1678889040000,94
2023-03-15 14:05:00,479,3.3249,3.4,3.69,3.8,2.9,1678889100000,106
2023-03-15 14:06:00,321,3.3087,3.7,3.2,3.7,3.07,1678889160000,67
2023-03-15 14:07:00,279,2.8937,3.2,2.55,3.5,2.25,1678889220000,103
2023-03-15 14:08:00,251,2.7239,2.6,2.9,3.2,2.45,1678889280000,90
2023-03-15 14:09:00,163,3.077,2.87,2.95,3.2,2.87,1678889340000,61
2023-03-15 14:10:00,130,2.6676,2.9,2.73,2.9,2.4,1678889400000,52
2023-03-15 14:11:00,72,2.81,2.9,2.97,3.0,2.55,1678889460000,38
2023-03-15 14:12:00,170,3.1044,2.88,3.1,3.3,2.8,1678889520000,57
2023-03-15 14:13:00,90,2.9496,3.0,3.0,3.02,2.82,1678889580000,34
2023-03-15 14:14:00,314,3.3188,2.9,3.5,3.53,2.85,1678889640000,100
2023-03-15 14:15:00,120,3.3332,3.4,3.3,3.6,3.1,1678889700000,49
2023-03-15 14:16:00,149,3.1697,3.2,3.3,3.4,2.95,1678889760000,50
2023-03-15 14:17:00,326,3.4466,3.4,2.8,4.0,2.78,1678889820000,118
2023-03-15 14:18:00,245,2.816,2.9,3.3,3.46,2.35,1678889880000,70
2023-03-15 14:19:00,140,3.6886,3.3,2.9,3.9,2.85,1678889940000,62
2023-03-15 14:20:00,306,2.7387,2.8,2.75,3.0,2.55,1678890000000,80
2023-03-15 14:21:00,191,2.5145,2.7,2.5,2.7,2.35,1678890060000,80
2023-03-15 14:22:00,80,2.5324,2.55,2.55,2.65,2.4,1678890120000,27
2023-03-15 14:23:00,92,2.8547,2.6,2.95,3.1,2.55,1678890180000,51
2023-03-15 14:24:00,210,3.1403,2.87,3.2,3.35,2.87,1678890240000,78
2023-03-15 14:25:00,56,3.1004,3.4,3.1,3.4,2.88,1678890300000,34
2023-03-15 14:26:00,82,3.3762,3.1,3.5,3.6,3.1,1678890360000,53
2023-03-15 14:27:00,114,3.3825,3.5,3.6,3.7,3.1,1678890420000,48
2023-03-15 14:28:00,164,2.8524,3.6,2.65,3.6,2.45,1678890480000,66
2023-03-15 14:29:00,112,2.6089,2.65,2.65,2.75,2.35,1678890540000,46
2023-03-15 14:30:00,188,2.9399,2.55,2.95,3.2,2.55,1678890600000,49
2023-03-15 14:31:00,95,2.7101,2.75,2.4,3.1,2.4,1678890660000,41
2023-03-15 14:32:00,126,2.7712,2.4,3.3,3.45,2.2,1678890720000,86
2023-03-15 14:33:00,126,3.1239,3.3,2.85,3.4,2.85,1678890780000,53
2023-03-15 14:34:00,238,3.3164,2.9,3.8,3.8,2.9,1678890840000,84
2023-03-15 14:35:00,218,3.7093,3.7,3.1,4.0,3.0,1678890900000,87
2023-03-15 14:36:00,288,2.7075,3.2,2.7,3.2,2.5,1678890960000,69
2023-03-15 14:37:00,173,3.0077,2.75,3.3,3.3,2.7,1678891020000,63
2023-03-15 14:38:00,121,3.386,3.4,3.4,3.5,3.2,1678891080000,47
2023-03-15 14:39:00,108,3.1431,3.3,3.1,3.4,2.8,1678891140000,44
2023-03-15 14:40:00,183,3.2899,3.0,3.33,3.4,3.0,1678891200000,41
2023-03-15 14:41:00,40,3.2805,3.2,3.3,3.32,3.2,1678891260000,19
2023-03-15 14:42:00,119,3.4728,3.4,3.6,3.7,3.0,1678891320000,65
2023-03-15 14:43:00,195,3.6515,3.7,3.8,3.8,3.5,1678891380000,73
2023-03-15 14:44:00,192,3.8401,3.9,3.5,4.0,3.0,1678891440000,98
2023-03-15 14:45:00,138,3.2843,3.5,3.2,3.6,3.0,1678891500000,48
2023-03-15 14:46:00,153,3.0772,3.1,3.28,3.3,2.9,1678891560000,43
2023-03-15 14:47:00,81,3.56,3.3,3.4,3.72,3.3,1678891620000,47
2023-03-15 14:48:00,40,3.4367,3.4,3.5,3.6,3.3,1678891680000,25
2023-03-15 14:49:00,236,3.6668,3.6,3.5,3.8,3.5,1678891740000,62
2023-03-15 14:50:00,245,3.9541,3.6,4.0,4.15,3.6,1678891800000,97
2023-03-15 14:51:00,200,4.0099,4.1,4.1,4.2,3.8,1678891860000,78
2023-03-15 14:52:00,118,3.6322,4.0,3.5,4.1,3.3,1678891920000,60
2023-03-15 14:53:00,108,3.3119,3.4,3.0,3.6,3.0,1678891980000,57
2023-03-15 14:54:00,177,2.705,3.0,2.76,3.0,2.5,1678892040000,92
