timestamp,volume,vw,open,close,high,low,t,n
2024-03-14 13:30:00,8,27.8713,27.91,27.6,27.91,27.6,1710423000000,2
2024-03-14 13:31:00,7,27.6,27.6,27.6,27.6,27.6,1710423060000,2
2024-03-14 13:32:00,11,29.85,29.45,30.0,30.0,29.45,1710423120000,4
2024-03-14 13:33:00,5,29.552,29.16,31.12,31.12,29.16,1710423180000,2
2024-03-14 13:34:00,5,30.412,31.61,29.6,31.65,29.6,1710423240000,3
2024-03-14 13:35:00,2,28.965,29.13,28.8,29.13,28.8,1710423300000,2
2024-03-14 13:36:00,4,29.4,29.4,29.4,29.4,29.4,1710423360000,1
2024-03-14 13:37:00,7,26.0571,26.1,26.0,26.1,26.0,1710423420000,2
2024-03-14 13:38:00,2,26.13,25.97,26.29,26.29,25.97,1710423480000,2
2024-03-14 13:39:00,19,27.0,26.22,27.2,27.62,26.22,1710423540000,5
2024-03-14 13:40:00,3,27.7567,28.07,27.13,28.07,27.13,1710423600000,2
2024-03-14 13:42:00,1,26.73,26.73,26.73,26.73,26.73,1710423720000,1
2024-03-14 13:43:00,8,27.9125,27.3,29.4,29.4,27.3,1710423780000,6
2024-03-14 13:44:00,11,28.5518,28.6,28.07,28.6,28.07,1710423840000,2
2024-03-14 13:45:00,12,29.8983,28.5,30.28,30.28,28.5,1710423900000,4
2024-03-14 13:46:00,1,33.26,33.26,33.26,33.26,33.26,1710423960000,1
2024-03-14 13:47:00,2,35.61,35.35,35.87,35.87,35.35,1710424020000,2
2024-03-14 13:49:00,7,44.1571,44.67,44.4,44.67,43.3,1710424140000,6
2024-03-14 13:50:00,1,47.2,47.2,47.2,47.2,47.2,1710424200000,1
2024-03-14 13:51:00,4,51.05,50.6,51.1,52.2,50.3,1710424260000,4
2024-03-14 13:52:00,12,52.2417,52.6,52.0,54.3,52.0,1710424320000,3
2024-03-14 13:53:00,1,53.54,53.54,53.54,53.54,53.54,1710424380000,1
2024-03-14 13:55:00,1,52.0,52.0,52.0,52.0,52.0,1710424500000,1
2024-03-14 13:59:00,3,54.89,54.87,54.9,54.9,54.87,1710424740000,2
2024-03-14 14:00:00,1,59.17,59.17,59.17,59.17,59.17,1710424800000,1
