timestamp,volume,vw,open,close,high,low,t,n
2023-12-06 14:30:00,784,4.1812,4.5,4.2,4.6,3.8,1701873000000,241
2023-12-06 14:31:00,656,4.2569,4.22,4.27,4.7,4.0,1701873060000,185
2023-12-06 14:32:00,571,4.1861,4.4,3.8,4.71,3.72,1701873120000,208
2023-12-06 14:33:00,283,3.7345,3.82,3.6,3.9,3.5,1701873180000,135
2023-12-06 14:34:00,414,3.6111,3.6,3.3,4.0,3.3,1701873240000,152
2023-12-06 14:35:00,809,2.8382,3.22,2.75,3.22,2.35,1701873300000,277
2023-12-06 14:36:00,523,2.7253,2.8,2.45,2.95,2.4,1701873360000,220
2023-12-06 14:37:00,313,2.4638,2.52,2.35,2.67,2.3,1701873420000,158
2023-12-06 14:38:00,487,2.3776,2.32,2.27,2.55,2.25,1701873480000,138
2023-12-06 14:39:00,407,2.4024,2.25,2.5,2.5,2.25,1701873540000,159
2023-12-06 14:40:00,443,2.4735,2.5,2.4,2.6,2.35,1701873600000,189
2023-12-06 14:41:00,765,2.5749,2.45,2.7,2.77,2.35,1701873660000,216
2023-12-06 14:42:00,510,2.7455,2.7,2.6,2.9,2.55,1701873720000,207
2023-12-06 14:43:00,212,2.6596,2.55,2.6,2.75,2.53,1701873780000,78
2023-12-06 14:44:00,204,2.5783,2.65,2.35,2.72,2.3,1701873840000,100
2023-12-06 14:45:00,366,2.278,2.5,2.13,2.5,2.1,1701873900000,163
2023-12-06 14:46:00,277,2.3611,2.15,2.35,2.55,2.1,1701873960000,108
2023-12-06 14:47:00,198,2.3089,2.45,2.3,2.45,2.2,1701874020000,73
2023-12-06 14:48:00,119,2.3834,2.4,2.3,2.5,2.3,1701874080000,66
2023-12-06 14:49:00,166,2.2614,2.3,2.3,2.35,2.2,1701874140000,63
2023-12-06 14:50:00,299,2.3004,2.35,2.46,2.5,2.15,1701874200000,112
2023-12-06 14:51:00,1077,2.4434,2.5,2.5,2.7,2.35,1701874260000,151
2023-12-06 14:52:00,240,2.4608,2.5,2.45,2.6,2.3,1701874320000,85
2023-12-06 14:53:00,235,2.2497,2.45,2.2,2.45,2.2,1701874380000,79
2023-12-06 14:54:00,167,2.1893,2.15,2.0,2.4,2.0,1701874440000,88
2023-12-06 14:55:00,158,2.0847,2.05,2.02,2.2,2.0,1701874500000,94
2023-12-06 14:56:00,180,2.0966,2.1,2.05,2.16,2.05,1701874560000,76
2023-12-06 14:57:00,233,2.1763,2.05,2.1,2.3,2.05,1701874620000,85
2023-12-06 14:58:00,169,2.2475,2.15,2.25,2.35,2.15,1701874680000,48
2023-12-06 14:59:00,214,2.0469,2.2,2.15,2.2,1.95,1701874740000,85
2023-12-06 15:00:00,222,1.9826,2.2,1.9,2.25,1.8,1701874800000,131
2023-12-06 15:01:00,583,1.7754,1.95,1.6,2.0,1.6,1701874860000,188
2023-12-06 15:02:00,357,1.5949,1.6,1.5,1.7,1.5,1701874920000,174
2023-12-06 15:03:00,777,1.3802,1.52,1.37,1.55,1.25,1701874980000,262
2023-12-06 15:04:00,920,1.448,1.4,1.4,1.6,1.3,1701875040000,262
2023-12-06 15:05:00,770,1.394,1.3,1.45,1.55,1.25,1701875100000,214
2023-12-06 15:06:00,397,1.3377,1.4,1.27,1.49,1.2,1701875160000,110
2023-12-06 15:07:00,404,1.2874,1.25,1.37,1.4,1.2,1701875220000,105
2023-12-06 15:08:00,740,1.5344,1.4,1.6,1.6,1.37,1701875280000,164
2023-12-06 15:09:00,1232,1.8091,1.6,1.92,2.0,1.57,1701875340000,338
2023-12-06 15:10:00,664,1.9841,1.9,1.9,2.15,1.8,1701875400000,308
2023-12-06 15:11:00,616,1.9238,1.9,2.02,2.1,1.7,1701875460000,186
2023-12-06 15:12:00,276,1.9729,2.05,1.95,2.1,1.85,1701875520000,130
2023-12-06 15:13:00,210,1.9907,1.98,1.99,2.05,1.9,1701875580000,95
2023-12-06 15:14:00,405,2.1215,1.95,2.2,2.25,1.95,1701875640000,145
2023-12-06 15:15:00,765,2.3386,2.2,2.4,2.5,2.1,1701875700000,388
2023-12-06 15:16:00,413,2.3611,2.4,2.32,2.5,2.2,1701875760000,169
