timestamp,volume,vw,open,close,high,low,t,n
2024-04-12 13:30:00,323,2.6463,3.1,2.27,3.2,2.27,1712928600000,91
2024-04-12 13:31:00,810,2.5795,2.3,2.1,2.9,2.05,1712928660000,154
2024-04-12 13:32:00,282,1.998,2.05,1.7,2.17,1.7,1712928720000,90
2024-04-12 13:33:00,407,1.8486,1.8,1.95,2.07,1.7,1712928780000,90
2024-04-12 13:34:00,192,2.0081,1.95,2.0,2.06,1.92,1712928840000,57
2024-04-12 13:35:00,277,2.0827,2.05,2.1,2.2,1.95,1712928900000,64
2024-04-12 13:36:00,171,2.025,2.12,2.0,2.2,1.97,1712928960000,50
2024-04-12 13:37:00,119,1.9944,2.0,1.95,2.07,1.92,1712929020000,38
2024-04-12 13:38:00,148,1.832,1.95,1.87,2.05,1.6,1712929080000,46
2024-04-12 13:39:00,259,1.6946,1.8,1.68,1.8,1.68,1712929140000,30
2024-04-12 13:40:00,205,1.7419,1.71,1.7,1.82,1.68,1712929200000,59
2024-04-12 13:41:00,110,1.6404,1.7,1.6,1.75,1.55,1712929260000,43
2024-04-12 13:42:00,141,1.6249,1.62,1.7,1.7,1.55,1712929320000,39
2024-04-12 13:43:00,147,1.5607,1.6,1.4,1.75,1.4,1712929380000,53
2024-04-12 13:44:00,59,1.3868,1.45,1.38,1.45,1.35,1712929440000,34
2024-04-12 13:45:00,45,1.3853,1.4,1.25,1.47,1.22,1712929500000,28
2024-04-12 13:46:00,104,1.1379,1.25,1.05,1.3,1.03,1712929560000,46
2024-04-12 13:47:00,187,1.0891,1.07,1.1,1.12,1.0,1712929620000,57
2024-04-12 13:48:00,71,1.1239,1.2,1.2,1.25,1.05,1712929680000,37
2024-04-12 13:49:00,338,1.3369,1.24,1.5,1.5,1.24,1712929740000,55
2024-04-12 13:50:00,105,1.3188,1.4,1.27,1.45,1.2,1712929800000,35
2024-04-12 13:51:00,118,1.3617,1.25,1.42,1.42,1.25,1712929860000,25
2024-04-12 13:52:00,221,1.5632,1.4,1.6,1.65,1.35,1712929920000,62
2024-04-12 13:53:00,76,1.6333,1.6,1.57,1.7,1.55,1712929980000,34
2024-04-12 13:54:00,116,1.7103,1.6,1.65,1.81,1.6,1712930040000,40
2024-04-12 13:55:00,59,1.6737,1.7,1.7,1.7,1.6,1712930100000,21
2024-04-12 13:56:00,75,1.6987,1.8,1.8,1.8,1.55,1712930160000,32
2024-04-12 13:57:00,41,1.7788,1.75,1.7,1.82,1.7,1712930220000,21
2024-04-12 13:58:00,38,1.5971,1.7,1.5,1.7,1.5,1712930280000,21
2024-04-12 13:59:00,152,1.4092,1.5,1.35,1.5,1.3,1712930340000,48
2024-04-12 14:00:00,1128,1.7271,1.37,1.5,1.95,1.35,1712930400000,123
2024-04-12 14:01:00,90,1.416,1.46,1.5,1.52,1.3,1712930460000,33
2024-04-12 14:02:00,264,1.7109,1.45,1.85,1.9,1.45,1712930520000,58
2024-04-12 14:03:00,218,2.0165,1.87,2.1,2.2,1.75,1712930580000,86
2024-04-12 14:04:00,115,1.8889,2.1,1.87,2.1,1.8,1712930640000,57
2024-04-12 14:05:00,70,1.9331,1.9,1.9,1.97,1.85,1712930700000,35
2024-04-12 14:06:00,288,2.0706,1.8,2.4,2.4,1.75,1712930760000,79
2024-04-12 14:07:00,283,2.5171,2.45,2.5,2.75,2.3,1712930820000,139
2024-04-12 14:08:00,267,2.7562,2.5,2.95,2.95,2.48,1712930880000,93
2024-04-12 14:09:00,498,2.9017,2.95,2.75,3.1,2.4,1712930940000,118
2024-04-12 14:10:00,90,2.4426,2.6,2.45,2.6,2.2,1712931000000,65
2024-04-12 14:11:00,217,2.5762,2.35,2.58,2.7,2.35,1712931060000,52
2024-04-12 14:12:00,167,2.7247,2.55,2.5,2.91,2.5,1712931120000,72
2024-04-12 14:13:00,271,2.6063,2.5,2.6,2.65,2.45,1712931180000,32
2024-04-12 14:14:00,153,2.5524,2.57,2.3,2.7,2.3,1712931240000,78
2024-04-12 14:15:00,566,2.6775,2.4,3.1,3.1,2.4,1712931300000,143
2024-04-12 14:16:00,183,2.889,3.0,2.65,3.1,2.65,1712931360000,78
2024-04-12 14:17:00,98,2.5128,2.65,2.5,2.8,2.25,1712931420000,65
2024-04-12 14:18:00,115,2.1674,2.65,2.05,2.65,2.0,1712931480000,70
2024-04-12 14:19:00,179,2.1056,2.15,2.05,2.3,1.9,1712931540000,59
2024-04-12 14:20:00,98,2.071,2.15,2.07,2.15,2.0,1712931600000,31
2024-04-12 14:21:00,91,2.0654,2.1,2.17,2.17,2.0,1712931660000,23
2024-04-12 14:22:00,240,2.0183,2.15,2.0,2.15,1.9,1712931720000,40
2024-04-12 14:23:00,58,1.9728,2.06,1.95,2.1,1.85,1712931780000,29
2024-04-12 14:24:00,61,1.999,1.9,2.06,2.15,1.9,1712931840000,29
2024-04-12 14:25:00,130,2.1137,2.1,2.2,2.2,2.0,1712931900000,35
2024-04-12 14:26:00,74,2.143,2.1,2.15,2.25,2.09,1712931960000,37
2024-04-12 14:27:00,53,2.2466,2.17,2.25,2.3,2.17,1712932020000,30
2024-04-12 14:28:00,105,2.3138,2.3,2.48,2.48,2.17,1712932080000,45
