timestamp,volume,vw,open,close,high,low,t,n
2023-06-07 13:30:00,93,0.0976,0.1,0.07,0.1,0.07,1686144600000,36
2023-06-07 13:31:00,91,0.0767,0.07,0.1,0.1,0.05,1686144660000,20
2023-06-07 13:32:00,115,0.0769,0.1,0.07,0.1,0.05,1686144720000,32
2023-06-07 13:33:00,5,0.082,0.1,0.07,0.1,0.07,1686144780000,4
2023-06-07 13:34:00,6,0.07,0.07,0.07,0.07,0.07,1686144840000,4
2023-06-07 13:35:00,12,0.0767,0.07,0.07,0.1,0.05,1686144900000,9
2023-06-07 13:37:00,1,0.07,0.07,0.07,0.07,0.07,1686145020000,1
2023-06-07 13:38:00,4,0.075,0.05,0.1,0.1,0.05,1686145080000,2
2023-06-07 13:41:00,1,0.07,0.07,0.07,0.07,0.07,1686145260000,1
2023-06-07 13:42:00,2,0.085,0.1,0.07,0.1,0.07,1686145320000,2
2023-06-07 13:43:00,1,0.07,0.07,0.07,0.07,0.07,1686145380000,1
2023-06-07 13:45:00,12,0.07,0.07,0.07,0.07,0.07,1686145500000,2
2023-06-07 13:46:00,1,0.05,0.05,0.05,0.05,0.05,1686145560000,1
2023-06-07 13:48:00,2,0.05,0.05,0.05,0.05,0.05,1686145680000,1
2023-06-07 13:50:00,2,0.06,0.05,0.07,0.07,0.05,1686145800000,2
2023-06-07 13:51:00,5,0.07,0.07,0.07,0.07,0.07,1686145860000,3
2023-06-07 13:53:00,12,0.0617,0.07,0.05,0.07,0.05,1686145980000,6
2023-06-07 13:54:00,17,0.0718,0.07,0.07,0.1,0.07,1686146040000,4
2023-06-07 13:56:00,1,0.07,0.07,0.07,0.07,0.07,1686146160000,1
2023-06-07 13:57:00,11,0.0682,0.07,0.05,0.07,0.05,1686146220000,3
2023-06-07 13:58:00,7,0.0929,0.05,0.1,0.1,0.05,1686146280000,3
2023-06-07 13:59:00,2,0.05,0.05,0.05,0.05,0.05,1686146340000,2
2023-06-07 14:00:00,1,0.1,0.1,0.1,0.1,0.1,1686146400000,1
2023-06-07 14:02:00,4,0.065,0.07,0.05,0.07,0.05,1686146520000,2
2023-06-07 14:03:00,1,0.1,0.1,0.1,0.1,0.1,1686146580000,1
2023-06-07 14:04:00,1,0.07,0.07,0.07,0.07,0.07,1686146640000,1
2023-06-07 14:07:00,5,0.07,0.07,0.07,0.07,0.07,1686146820000,1
2023-06-07 14:12:00,1,0.07,0.07,0.07,0.07,0.07,1686147120000,1
2023-06-07 14:13:00,97,0.1,0.1,0.1,0.1,0.1,1686147180000,1
2023-06-07 14:14:00,3,0.09,0.1,0.1,0.1,0.07,1686147240000,3
2023-06-07 14:15:00,8,0.0813,0.1,0.07,0.1,0.07,1686147300000,6
2023-06-07 14:16:00,5,0.088,0.1,0.07,0.1,0.07,1686147360000,3
2023-06-07 14:18:00,1,0.07,0.07,0.07,0.07,0.07,1686147480000,1
2023-06-07 14:19:00,6,0.09,0.1,0.07,0.1,0.07,1686147540000,3
2023-06-07 14:20:00,8,0.0925,0.1,0.1,0.1,0.07,1686147600000,5
2023-06-07 14:21:00,10,0.1,0.1,0.1,0.1,0.1,1686147660000,3
2023-06-07 14:22:00,26,0.0988,0.1,0.1,0.1,0.07,1686147720000,3
2023-06-07 14:23:00,89,0.0993,0.1,0.1,0.1,0.07,1686147780000,11
2023-06-07 14:24:00,47,0.077,0.07,0.1,0.1,0.07,1686147840000,10
2023-06-07 14:25:00,12,0.1,0.1,0.1,0.1,0.1,1686147900000,4
2023-06-07 14:26:00,1,0.07,0.07,0.07,0.07,0.07,1686147960000,1
2023-06-07 14:27:00,2,0.075,0.1,0.05,0.1,0.05,1686148020000,2
2023-06-07 14:28:00,20,0.06,0.05,0.07,0.07,0.05,1686148080000,3
2023-06-07 14:30:00,1,0.1,0.1,0.1,0.1,0.1,1686148200000,1
2023-06-07 14:34:00,4,0.07,0.07,0.07,0.07,0.07,1686148440000,1
2023-06-07 14:36:00,2,0.05,0.05,0.05,0.05,0.05,1686148560000,1
2023-06-07 14:37:00,8,0.0525,0.07,0.05,0.07,0.05,1686148620000,2
2023-06-07 14:40:00,1,0.1,0.1,0.1,0.1,0.1,1686148800000,1
2023-06-07 14:42:00,1,0.07,0.07,0.07,0.07,0.07,1686148920000,1
2023-06-07 14:43:00,8,0.085,0.07,0.1,0.1,0.07,1686148980000,6
2023-06-07 14:44:00,19,0.0795,0.07,0.1,0.1,0.07,1686149040000,11
2023-06-07 14:45:00,7,0.0714,0.1,0.07,0.1,0.05,1686149100000,4
2023-06-07 14:46:00,54,0.0706,0.07,0.07,0.1,0.07,1686149160000,4
2023-06-07 14:47:00,2,0.07,0.07,0.07,0.07,0.07,1686149220000,2
